Filename,MotionVectorsPerFrame,AvgMotionIntensityPerPixel,avg_volume_dBFS,text_overlay_ratio,animated_text,emoji_count,Duration (s),Frames,FPS,Scene Cuts,Mean Frame Duration (ms),Std (ms),Min (ms),input_l (dB),input_lra (dB),speech_whisper,speech_ast,speech_yamnet,original_sound,username,video_id,tiktokurl
@13fyp37_video_7214634553330208026.mp4,521958,1.4,-12.676741249627400,1.0,1.0,2.0,11.0,318.0,28.9,2.0,34.7,6.61,33.33,-10.97,1.1,TRUE,FALSE,TRUE,FALSE,13fyp37,7214634553330208026,https://www.tiktok.com/@13fyp37/video/7214634553330208026
@_zbent_video_7263855139457469738.mp4,1071155,2.81,-9.767717456173450,1.0,1.0,0.0,15.0,450.0,30.0,0.0,33.33,0.0,33.33,-9.44,1.2,TRUE,FALSE,TRUE,TRUE,,7263855139457469738,
@abdulchinn_video_7264704467226873121.mp4,531932,3.17,-17.73713358216920,1.0,1.0,2.0,58.77,1759.0,29.9,7.0,33.41,3.18,33.33,,,TRUE,FALSE,TRUE,FALSE,abdulchinn,7264704467226873121,https://www.tiktok.com/@abdulchinn/video/7264704467226873121
@adamsgearsolutions_video_7248705593194597674.mp4,659178,0.71,-11.629135422569500,1.0,1.0,0.0,7.93,238.0,30.0,0.0,33.33,0.0,33.33,-10.45,2.1,TRUE,FALSE,TRUE,FALSE,adamsgearsolutions,7248705593194597674,https://www.tiktok.com/@adamsgearsolutions/video/7248705593194597674
@adamsgearsolutions_video_7262378433878019370.mp4,510268,3.23,-19.38802137115970,1.0,1.0,0.0,55.83,1675.0,30.0,0.0,33.33,0.0,33.33,-19.21,14.8,TRUE,FALSE,FALSE,FALSE,adamsgearsolutions,7262378433878019370,https://www.tiktok.com/@adamsgearsolutions/video/7262378433878019370
@adde.aa_video_7162162320955706629.mp4,1132180,1.27,-18.43220547756890,1.0,0.0,0.0,18.37,551.0,30.0,2.0,33.33,0.0,33.33,-15.24,1.2,TRUE,FALSE,FALSE,FALSE,adde.aa,7162162320955706629,https://www.tiktok.com/@adde.aa/video/7162162320955706629
@adde.aa_video_7187804205699157253.mp4,1503462,0.79,-10.965530240083600,1.0,0.0,0.0,9.87,296.0,30.0,0.0,33.33,0.0,33.33,-9.09,0.9,TRUE,FALSE,TRUE,FALSE,adde.aa,7187804205699157253,https://www.tiktok.com/@adde.aa/video/7187804205699157253
@adde.aa_video_7206803774411672838.mp4,537337,4.77,-11.910709086005700,1.0,1.0,0.0,8.87,266.0,30.0,0.0,33.33,0.0,33.33,-10.6,2.9,TRUE,FALSE,TRUE,FALSE,adde.aa,7206803774411672838,https://www.tiktok.com/@adde.aa/video/7206803774411672838
@adde.aa_video_7227162502801509659.mp4,1399890,4.85,-24.214880734939000,1.0,0.0,0.0,16.33,490.0,30.0,0.0,33.33,0.0,33.33,-17.38,17.6,TRUE,TRUE,TRUE,FALSE,adde.aa,7227162502801509659,https://www.tiktok.com/@adde.aa/video/7227162502801509659
@adrianfloren_video_7142075041780354310.mp4,1536074,4.14,-9.88686733055192,1.0,1.0,0.0,55.77,1673.0,30.0,32.0,33.33,0.0,33.33,-6.57,2.2,TRUE,FALSE,FALSE,FALSE,adrianfloren,7142075041780354310,https://www.tiktok.com/@adrianfloren/video/7142075041780354310
@adrianfloren_video_7161463756168400134.mp4,1312756,1.87,-13.635858761336900,1.0,1.0,0.0,49.1,1473.0,30.0,17.0,33.33,0.0,33.33,-10.3,7.2,TRUE,TRUE,TRUE,FALSE,adrianfloren,7161463756168400134,https://www.tiktok.com/@adrianfloren/video/7161463756168400134
@adrianfloren_video_7174084289456311557.mp4,575203,0.94,-12.314776807771500,1.0,1.0,2.0,44.83,1345.0,30.0,20.0,33.33,0.0,33.33,-9.58,8.4,TRUE,FALSE,TRUE,FALSE,adrianfloren,7174084289456311557,https://www.tiktok.com/@adrianfloren/video/7174084289456311557
