Video_File,Audio_File,Duration,Transcript
@bfmtv_video_7170005018890767622.mp4,@bfmtv_video_7170005018890767622.mp3,46.68000000000001," C'est quoi le snuss ? C'est petit sachet de tabac que certains sportifs adorent. En fait, c'est une poudre de tabac humide à sucé qui est contenue dans des petits sachets blancs. A l'origine, c'était un mélange de tabac, d'eau, de sel, de carbonat de sodium et d'aromes cuis à la vapeur. Si le snuss est notamment très populaire en suède, il est illégal en France, même si il est très facile de s'en procurer sur des sites en ligne. Fortement doser en nicotine, le produit augmente les risques de cancer et il attaque les gensives. En octobre 2021, le coach Lee Johnson alerté sur la propagation du phénomène snuss dans le football. En effet, de nombreux joueurs seraient des consommateurs réguliers, il y a quelques années, des images des footballeurs de l'atanie bribes ou Jamie Vardy en train de prendre du snuss, ont circulé sur les réseaux. Et avec cette photo publiée, il y a quelques jours, les internautes soupçonnent l'attaquin des bleus marcus turames de consommé du snuss."
@ayuda.golf_video_7171252703543282987.mp4,@ayuda.golf_video_7171252703543282987.mp3,2.0, I don't know what it's like
@ashleyhorning87_video_7254986033526361386.mp4,@ashleyhorning87_video_7254986033526361386.mp3,8.18, Drink!
@y_mohanna_video_7171468574303866117.mp4,@y_mohanna_video_7171468574303866117.mp3,27.52, Så det är ingen järre över så kommer inte att rega av. Det är inte på kostet där det kostar vi. En snubstosa kan komma och kosta 120 kronor om ett nytt förslag från EU går igenom. Det här kunde avtombladet avslöja helgen. En nytt hemligt lätt förslag från EU-kommissionen ville bryss sig att vinga Sverige att hya snubskatten rejält. Sveriges EU-kommissionär Ilva Johansson har pratat med...
@omgsupreme_video_7234209986430160155.mp4,@omgsupreme_video_7234209986430160155.mp3,133.06," Okay, so MK Pop plug has sent me some new snuss and this is probably the scariest snuss I think I'm ever gonna try He goes as taffy flavored and it's iceberg and it's really strong doubled extreme. I think it's Very strong and anyway taffy flavored snuss look at the color of this by the way. It looks Yeah, this is the color of the right here Now the thing is I'm not a very big sweet tooth guy. I'm not very fond of taffy or caramel or anything like that So this is gonna be very scary Strong and I'm not probably gonna like the taste but I want to give it a go And if you do like taffy you might really like this. I'm gonna try it if I'm gonna pop plug link in the description go check on my and uh, yeah, let's try this Smell's like a sugar in it. I Reducing study apparently that if you have like too much to nicotine or you have like too strong snuss honey and like sugar pretty helps anyway During the day with our sponsor assigned by the way, I look like it's a silly and gangster in the 70s today I kind of like the look by the way. I have a clothing brand. It's in my website Lincoln Lincoln buy if you want to grab anything what check it out Unfortunately, I've got no shitty guitars today my telecast is broken. I don't need to get a fix this in my car Surprisingly, he's robbed the app. I wasn't on my golf clubs and a fishing rod in my car on the same time for the last week But it's got perfect utility never know who's gonna be the world could end tomorrow, but at least kind of prepared. I can get food play music and I've been to myself golf clubs. Hey, this is strong and it's burning. I'm honestly I can't taste it as much as I thought I was going to it's actually quite nice and it's a skinny iceberg. It's actually good I'm surprisingly enjoying this The real question with this is the drip back right I should go. I Honestly tastes like actual toffee. See that's one of sweet actually. We don't mind. This is actually Who knows for three minutes that is hit like a truck, but this is surprisingly probably one of the best tastes of sauce I don't even like toffee. This is really surprisingly good. I don't for iceberg. I don't know me like ice But that's probably the best iceberg product I've tried that's so surprised me check out Mkpop Blog link in the description to get yourself some slush"
@teyezashton_video_7176368576453020970.mp4,@teyezashton_video_7176368576453020970.mp3,14.9, I said you were losing your mind. Why do you do that? Because there's something bad. Excited me. This keeps you from getting out.
@barebabs_video_7133225957179067653.mp4,@barebabs_video_7133225957179067653.mp3,46.8," Hon er stille, helt det har blitt fett av enge, og så skal jeg slik. Jeg synes egentlig helens snuseluttingen er veldig enn det mot å være nannes, for han fikte til seg følgelig og så var han sånn. Så så let var jeg kis, nei, det er ikke så let kis. Man bruker avingene på tre uker, når jeg først starte og snuselutte jeg tre uker, så sluttet jeg, og så snuselte jeg en mantene, og sluttet jeg en halvd år, og så kommer det avingene. Så han kom på i som bynter snuselene og noen etter opp, så snuselte jeg tre uker sluttet at dreitlet. Så jeg bare tenkte at jeg er som en onkel snusel, kun i det er et veldig forsøk, hvis den er videen for mange likes, og hvis mange vi slengser på eller bare se på. Jeg har mange gode under å dele for at snusel er råv og ikke er helsig rundene, fordi jeg har dreit til det her, så jeg må bli så om det. Men uansett, hvis snusel er en person, har det ikke klitt. De færer gang i. Så noe er på tider, mot å være med, pleis, og hvis dette ser, jeg er også snuset i 4-5 måer, hvis dette ser, så skal jeg sluttet når denne boxen er farlig."
@mia.esc_video_7163782157310381358.mp4,@mia.esc_video_7163782157310381358.mp3,6.5, I don't need the awesome man Tell me what I ought to do
@savingmamasita_video_7229103344415935787.mp4,@savingmamasita_video_7229103344415935787.mp3,9.3," Moet wat de spelleren són? Oh moo, slecht wooolder die bedde grong..."
@polletestar_video_7203032135278660870.mp4,@polletestar_video_7203032135278660870.mp3,76.82," Säkta där var väntade lite var. Har du prövat denna var? 105 miligrammar, iceberg, dragonfire var? Jag har inte det var. Låt oss pröva den tillsammans var. Åh var den gott dåffna trevligt. Alltså, jag 150 miligrammar är inte riktigt vänner längre för att den fick ju mig kall ut på den tre-dipaten liksom som stod se. Om ni förstår vad jag menar. Vi ska hålla den här med en... Åh ja. Vill du se den här lukta så är det boffrögde? Åh ja, jag är inte bra med att se. Snus nu så bara. Här tar du en bara. Skal jag bara tippa in till mig och så? Skål där hemman. Mmm. Alltså, någonstig. Märklig, märklig, märklig, fyrlig. Duff. Och när jag har blunder och lukta på den så kan jag bara känner att jag har gjori inte tre gård med massa appelsin så här. Ja ja. Och man bara lyfter att hryva ett upp liksom en appelsin ife i Facebook liksom. Det gäller män på. Det är bakat till snutsom. Vi måste ge en rating vad jag skulle se ens en. Det är trevlig. Man känner att styrkan presset är att 900-500 milgrammet. Jag kan säga att den kommer som sagt som är käftsmälde. Så en 18,5-10 pån av var. Detta var nu en trevligaste 115 milgrammet. Jag har prövat hejt ett sånt. Har du gott? Det är trevligaste nästa gång."
